https://www.sierraclub.org/trade/millions-good-jobs-plan-for-economic-renewal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Sector,Annual investment (bn $),Jobs per year,BLS Sector Largest Bucket,BLS Sector Level 2,BLS Sector Level 3,,,,,,,,,
Infrastructure,,,,,,Women,Men,Infrastructure,Women Jobs,Men Jobs,White,"Black or
 African
 American",Asian,"Hispanic
 or Latino"
Surface transportation,110.1,2268060,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,,3.50%,96.50%,Surface transportation,79382.1,2188677.9,87.10%,7.30%,1.60%,36.40%
water/wastewater,10.5,154350,"Production, transportation, and material moving occupations",Production occupations,Water and wastewater treatment plant and system operators,8.00%,92.00%,water/wastewater,12348,142002,84.60%,8.40%,3.50%,9.70%
electricity,17.7,185850,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Electrical power-line installers and repairers,1.60%,98.40%,electricity,2973.6,182876.4,89.80%,3%,0.60%,15.40%
airports,4.2,42840,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,,3.50%,96.50%,airports,1499.4,41340.6,87.10%,7.30%,1.60%,36.40%
inland waterways / marine ports,1.5,19200,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,,3.50%,96.50%,inland waterways / marine ports,672,18528,87.10%,7.30%,1.60%,36.40%
dams,3.9,72540,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,,3.50%,96.50%,dams,2538.9,70001.1,87.10%,7.30%,1.60%,36.40%
hazardous and solid waste,0.3,4590,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Hazardous materials removal workers,3.50%,96.50%,hazardous and solid waste,160.65,4429.35,87.10%,7.30%,1.60%,36.40%
levees,7,131600,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,,3.50%,96.50%,levees,4606,126994,87.10%,7.30%,1.60%,36.40%
public parks and recreation,10.2,216240,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,,3.50%,96.50%,public parks and recreation,7568.4,208671.6,87.10%,7.30%,1.60%,36.40%
rail,2.9,32480,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,,3.50%,96.50%,rail,1136.8,31343.2,87.10%,7.30%,1.60%,36.40%
schools,38,790400,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,,3.50%,96.50%,schools,27664,762736,87.10%,7.30%,1.60%,36.40%
gas pipelines leak repairs,18.3,316590,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,,3.50%,96.50%,gas pipelines leak repairs,11080.65,305509.35,87.10%,7.30%,1.60%,36.40%
broadband,35,353500,"Natural resources, construction, and maintenance occupations","Installation, maintenance and repair",Radio and telecommunications equipment installers and repairers,7.60%,92.40%,broadband,26866,326634,73.10%,15.80%,4.90%,15%
Renewable Energy,,,,,,,,Renewable Energy,,,,,,
Wind,108,1350700,"Natural resources, construction, and maintenance occupations","Installation, Maintenance and Repair",,3.90%,96.10%,Wind,52677.3,1298022.7,84%,9.10%,3.30%,20.30%
Solar,108,1545200,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Solar photovoltaic installers,3.50%,96.50%,Solar,54082,1491118,87.10%,7.30%,1.60%,36.40%
Geothermal,24,307350,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,"Earth drillers, except oil and gas",3.50%,96.50%,Geothermal,10757.25,296592.75,87.10%,7.30%,1.60%,36.40%
Energy Efficiency,,,,,,,,Energy Efficiency,,,,,,
Building retrofits,37.5,573750,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,,3.50%,96.50%,Building retrofits,20081.25,553668.75,87.10%,7.30%,1.60%,36.40%
Industrial efficiency,6.25,100625,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,,3.50%,96.50%,Industrial efficiency,3521.875,97103.125,87.10%,7.30%,1.60%,36.40%
High efficiency autos,6.25,53750,"Natural resources, construction, and maintenance occupations","Installation, Maintenance and Repair",,3.90%,96.10%,High efficiency autos,2096.25,51653.75,84%,9.10%,3.30%,20.30%
Land and agriculture,,,,,,,,Land and agriculture,,,,,,
Land restoration,10,162000,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",,25.20%,74.80%,Land restoration,40824,121176,89.30%,4.40%,1.80%,47.60%
Agriculture,20,380000,"Management, professional and related occupations","Management, business, and financial operations occupations","Farmers, ranchers, and other agricultural managers",25.40%,74.60%,Agriculture,96520,283480,96.60%,0.90%,1%,5.70%